Aircraft Type,"Fuel Consumption, SAR (kg/km/seat)",Master Emission Calculator (kg/km/seat),Travel Cost by Airplane (AUD),Empty Weight (kg) (normalized),Maximum Takeoff Weight (kg) (normalized),Maximum Landing Weight (kg) (normalized),Cargo Capacity (kg) (normalized),Cargo Capacity (cu ft)
Airbus A320,0.01834,0.02174,7.7945,317.7292108,592.2141758,542.1535811,169.6223142,37.36174322
Airbus A320,0.01834,0.02174,7.7945,878.0499936,3106.65086,1573.621537,5.826797151,1.283435496
Airbus A320,0.01834,0.02174,7.7945,407.408682,1836.004147,413.5010973,170.5542422,37.5670137
Airbus A320,0.01834,0.02174,7.7945,1750.660595,8584.269459,6811.425135,513.4333531,113.0910469
Airbus A320,0.01834,0.02174,7.7945,1055.247896,1410.127772,1066.953439,99.16479028,21.84246482
Airbus A320,0.01834,0.02174,7.7945,297.5153987,1470.434553,1136.704647,181.1616557,39.90344839
Airbus A320,0.01834,0.02174,7.7945,557.9404406,1010.876421,632.9247194,239.9946135,52.86224967
Airbus A320,0.01834,0.02174,7.7945,311.2915423,691.8954174,483.8834538,192.9742045,42.50533139
Airbus A320,0.01834,0.02174,7.7945,1254.345076,2220.616988,1903.805763,362.3251931,79.80731126
Airbus A320,0.01834,0.02174,7.7945,692.3283258,1445.314289,1254.499367,260.9415406,57.47611026
Airbus A320,0.01834,0.02174,7.7945,1261.999788,2365.157898,1438.764664,435.2535112,95.87081744
Airbus A320,0.01834,0.02174,7.7945,773.1624892,1454.753667,884.3759585,226.7449092,49.9438126
Airbus A320,0.01834,0.02174,7.7945,623.5937487,1470.430453,647.8812772,121.6846986,26.80279705
Airbus A320,0.01834,0.02174,7.7945,1097.270033,5433.163616,3342.624327,202.130189,44.52206806
Airbus A320,0.01834,0.02174,7.7945,138.852172,473.4594196,312.4780495,7.382928587,1.626195724
Airbus A320,0.01834,0.02174,7.7945,528.3150234,849.0092813,743.3658716,194.5870875,42.86059196
Airbus A320,0.01834,0.02174,7.7945,205.565267,882.8503537,462.5799695,276.077959,60.81012313
Airbus A320,0.01834,0.02174,7.7945,358.6443505,1016.000472,703.1323053,267.9163401,59.01240971
Airbus A320,0.01834,0.02174,7.7945,564.4138911,1219.844566,696.7580615,136.337692,30.03032863
Airbus A320,0.01834,0.02174,7.7945,316.2383,1463.646189,1017.95769,67.28553412,14.82060223
Airbus A320,0.01834,0.02174,7.7945,505.8903593,616.0353158,587.550169,158.9211696,35.00466291
Airbus A320,0.01834,0.02174,7.7945,847.5089881,1847.990416,1432.151739,174.0858292,38.3448963
