Aircraft Type,"Fuel Consumption, SAR (kg/km/seat)",Total Fuel Consumption (kg),Travel Cost by Airplane (AUD)
,0.02038,10.19,8.6615
Airbus A220-300,0.01497,7.485,6.36225
Airbus A319,0.01716,8.58,7.293
Airbus A320,0.01834,9.17,7.7945
Airbus A320neo,0.01391,6.955,5.91175
Airbus A321,0.01776,8.88,7.548
Airbus A321neo,0.01514,7.57,6.4345
Airbus A330-200,0.02038,10.19,8.6615
Airbus A330-300,0.01502,7.51,6.3835
Airbus A330-900,0.0141,7.05,5.9925
Airbus A350-900,0.01801,9.005,7.65425
Airbus A380-800,0.02057,10.285,8.74225
ATR 42,0.02613,13.065,11.10525
ATR 72,0.02042,10.21,8.6785
Beechcraft 1900D,0.03509,17.545,14.91325
Boeing 717-200,0.02229,11.145,9.47325
Boeing 737 Max 8,0.01538,7.69,6.5365
Boeing 737 MAX 9,0.01517,7.585,6.44725
Boeing 737-300,0.02164,10.82,9.197
Boeing 737-400,0.02231,11.155,9.48175
Boeing 737-500,0.02327,11.635,9.88975
Boeing 737-700,0.02079,10.395,8.83575
Boeing 737-800,0.01896,9.48,8.058
Boeing 737-900,0.01782,8.91,7.5735
Boeing 747-400,0.02261,11.305,9.60925
Boeing 757-200,0.02186,10.93,9.2905
Boeing 767-300,0.01877,9.385,7.97725
Boeing 777-200,0.02087,10.435,8.86975
Boeing 777-200ER,0.02095,10.475,8.90375
Boeing 777-300ER,0.02116,10.58,8.993
Boeing 787-8,0.01912,9.56,8.126
Boeing 787-9,0.01823,9.115,7.74775
Boeing MD-80,0.01938,9.69,8.2365
Bombardier CRJ100,0.02135,10.675,9.07375
Bombardier CRJ200,0.02422,12.11,10.2935
Bombardier CRJ700,0.02035,10.175,8.64875
Bombardier CRJ900,0.01982,9.91,8.4235
Bombardier CRJ1000,0.01744,8.72,7.412
De Havilland Canada Dash 8 Q100,0.02698,13.49,11.4665
De Havilland Canada Dash 8 Q300 ,0.01896,9.48,8.058
De Havilland Canada Dash 8 Q400,0.01708,8.54,7.259
De Havilland Canada Twin Otter ,0.05134,25.67,21.8195
Embraer E170,0.02285,11.425,9.71125
Embraer E175,0.02266,11.33,9.6305
Embraer E190,0.02391,11.955,10.16175
Embraer E195,0.01911,9.555,8.12175
Embraer E195-E2,0.01851,9.255,7.86675
Embraer EMB-120 Brasilia,0.02206,11.03,9.3755
Embraer ERJ-145,0.02808,14.04,11.934
Fokker 100,0.02208,11.04,9.384
Saab 340,0.02678,13.39,11.3815
Sukhoi Superjet 100,0.01772,8.86,7.531
