City Name,Average Fare ($),Car Cost per Seat (AUD)
City Name,Average Fare ($),11.434285714285716
Los Angeles,402.1178275429833,12.328
Chicago-O'Hare,404.9522604113153,11.040000000000001
Denver,353.4645806270971,13.616
Atlanta,417.7909797286274,11.73
Newark,432.6762863776254,16.330000000000002
Boston,389.2542199975517,8.28
Seattle,389.4202946440865,13.616
Dallas-DFW,441.0364261282319,45.080000000000005
Orlando,272.925389108496,36.800000000000004
San Francisco,444.09457336163126,11.408
Phoenix,372.56279969989237,10.304
New York-La Guardia,333.5656411574828,9.936
New York-JFK,444.1927375314131,9.936
Las Vegas,292.03763728188545,9.857142857142858
Minneapolis,435.4258827757645,11.224
Houston-Intercontinental,418.26913490976784,10.672
Philadelphia,418.76383101387296,15.456
Fort Lauderdale,271.35254894278,8.648
San Diego,369.55953457383526,18.032000000000004
Detroit,456.0337013654802,14.536000000000001
Washington-Reagan National,384.6539690773401,10.777142857142858
Tampa,324.11661966336425,12.696000000000002
Baltimore,364.8320519391765,12.144000000000002
Austin,387.5824995691796,13.616
Miami,350.44314759649035,14.536000000000001
Portland,411.00809074059686,11.408
Nashville,354.4802388898647,10.645714285714288
Charlotte,447.9214027904972,7.728
Salt Lake City,441.86197275399155,12.328
Raleigh/Durham,383.45797663979806,13.616
Sacramento,378.7143808255659,14.168000000000001
Honolulu,350.71082103389455,13.616
Chicago-Midway,319.55662287092076,16.744
St. Louis,403.24418786971705,13.616
San Jose,330.02407229686503,13.984
Washington-Dulles,495.932855174049,18.17
Kansas City,403.89002307966354,12.144000000000002
Dallas-Love Field,338.87575820291977,17.94
Indianapolis,385.96478034900264,13.8
Cleveland,361.61954019460387,14.168000000000001
Santa Ana,408.30897668196366,13.8
Oakland,303.549063571617,16.008000000000003
San Antonio,389.86447887065725,13.616
New Orleans,334.90180467091295,7.162857142857143
Pittsburgh,373.34907865675734,12.696000000000002
San Juan,299.23993861690013,12.144000000000002
Cincinnati,365.87896575821105,14.457142857142857
Columbus,398.73455877047405,10.251428571428573
Houston-Hobby,342.33345663029405,10.304
Fort Myers,336.0919271000449,17.25
Hartford,373.35249795935454,17.664
West Palm Beach/Palm Beach,364.7562942116072,15.088
Jacksonville,408.43248542127486,15.41
Ontario,373.69268799756605,9.936
Milwaukee,393.8742083190688,18.4
Burbank,308.71704427740445,16.192
Richmond,401.1390037593985,14.536000000000001
Charleston,379.68958461223656,14.72
Omaha,420.35282118966916,14.904000000000002
Buffalo,360.868485203814,15.088
Memphis,411.38604732690624,11.69714285714286
Boise,420.93979487179485,10.35
Albuquerque,399.40891487301707,11.592
Norfolk,419.7946515222314,13.668571428571429
Louisville,379.5364792748008,13.248000000000001
El Paso,403.16464398187264,13.064000000000002
Oklahoma City,437.7126328314118,10.120000000000001
Grand Rapids,406.81869067197556,13.616
Kahului,280.82648143965065,10.856
Anchorage,543.5407026563839,17.112000000000002
Spokane,442.0953202163518,15.088
Providence,349.49332068311196,11.776
Reno,389.9288660661672,13.616
Tucson,437.35915714848363,10.856
Long Beach,301.9772984217429,12.144000000000002
Des Moines,409.29899903132065,13.616
Syracuse,360.03640023484024,12.535
