Make,Model,City (kg/km/seat),Hwy (kg/km/seat),Comb (kg/km/seat),CO2 Emissions(g/km),Car Cost per Seat (AUD)
Acura,ILX,0.014652,0.01036,0.0127279999999999,200,11.434285714285716
Acura,MDX SH-AWD,0.018648,0.0139119999999999,0.016576,263,12.328
Acura,RDX SH-AWD,0.01628,0.0127279999999999,0.014652,232,11.040000000000001
Acura,RDX SH-AWD A-SPEC,0.016724,0.0134679999999999,0.015244,242,13.616
Acura,TLX SH-AWD,0.016576,0.01184,0.014504,230,11.73
Acura,TLX SH-AWD A-SPEC,0.016724,0.011988,0.014504,231,16.330000000000002
Acura,TLX Type S,0.018204,0.0139119999999999,0.01628,256,8.28
Acura,TLX Type S (Performance Tire),0.018204,0.014504,0.016576,261,13.616
Alfa Romeo,Giulia,0.0147999999999999,0.010656,0.0128759999999999,205,45.080000000000005
Alfa Romeo,Giulia AWD,0.0155399999999999,0.011396,0.013616,217,36.800000000000004
Alfa Romeo,Giulia Quadrifoglio,0.01998,0.013764,0.017168,271,11.408
Alfa Romeo,Stelvio,0.015244,0.011988,0.013764,218,10.304
Alfa Romeo,Stelvio AWD,0.015984,0.012284,0.014208,226,9.936
Alfa Romeo,Stelvio AWD Quadrifoglio,0.020572,0.015244,0.018204,288,9.936
Aston Martin,DB11 V8,0.01924,0.014504,0.01702,271,9.857142857142858
Aston Martin,DB11 V12,0.0242719999999999,0.015836,0.020424,324,11.224
Aston Martin,DBS V12,0.0242719999999999,0.015836,0.020424,324,10.672
Aston Martin,DBX V8,0.024864,0.017612,0.021608,343,15.456
Aston Martin,Vantage V8,0.019388,0.014208,0.01702,270,8.648
Audi,A3 Sedan 40 TFSI quattro,0.01258,0.009768,0.011248,178,18.032000000000004
Audi,A4 Sedan 40 TFSI quattro,0.0134679999999999,0.01036,0.0121359999999999,190,14.536000000000001
Audi,A4 Sedan 45 TFSI quattro,0.014504,0.011248,0.013024,205,10.777142857142858
Audi,A4 allroad 45 TFSI quattro,0.014504,0.011692,0.013172,208,12.696000000000002
Audi,A5 Cabriolet 45 TFSI quattro,0.015392,0.0111,0.0134679999999999,214,12.144000000000002
Audi,A5 Coupe 45 TFSI quattro,0.014504,0.011248,0.013024,205,13.616
Audi,A5 Sportback 45 TFSI quattro,0.014504,0.011248,0.013024,205,14.536000000000001
