Brand,Year,Model,Car/Suv,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Ssangyong,2022.0,Rexton,Sutherland Isuzu Ute,DEMO,Automatic,2.2,AWD,Diesel,8.7,5595.0,NSW,4,SUV,4,7,51990.0
MG,2022.0,MG3,Hatchback,USED,Automatic,1.5,Front,Premium,6.7,16.0,NSW,4,Hatchback,5,5,19990.0
Renault,2022.0,Arkana,SUV,USED,Automatic,1.3,Front,Unleaded,6.0,1035.0,NSW,4,SUV,4,5,34990.0
Toyota,2004.0,Estima,ON FOUR WHEELS,USED,Automatic,2.0,Other,Unleaded,7.4,160230.0,NSW,4,Commercial,4,5,9990.0
Land,2017.0,Rover,SUV,USED,Automatic,2.0,AWD,Diesel,5.1,67662.0,NSW,4,SUV,2,4,62280.0
Toyota,2013.0,86,Coupe,USED,Automatic,2.0,Rear,Premium,7.1,82012.0,NSW,4,Coupe,2,4,24888.0
Honda,2014.0,Jazz,Hatchback,USED,Automatic,1.3,Front,Hybrid,4.5,38229.0,NSW,4,Hatchback,5,5,17900.0
Toyota,2009.0,HiAce,Carbarn,USED,Automatic,2.0,Other,Unleaded,7.4,148190.0,NSW,4,Commercial,4,5,42500.0
Toyota,2018.0,HiAce,Commercial,USED,Automatic,2.7,Rear,Unleaded,9.8,16324.0,NSW,4,Commercial,4,2,41999.0
Toyota,2016.0,HiAce,Commercial,USED,Automatic,3.0,Rear,Diesel,8.0,229829.0,NSW,4,Commercial,4,2,27995.0
Volkswagen,2012.0,Golf,Hatchback,USED,Automatic,1.4,Front,Premium,6.2,55676.0,NSW,4,Hatchback,5,5,14999.0
BMW,2014.0,X3,SUV,USED,Automatic,2.0,4WD,Diesel,5.6,82624.0,NSW,4,SUV,4,5,24985.0
BMW,2011.0,118D,Hatchback,USED,Automatic,2.0,Rear,Diesel,5.4,95204.0,NSW,4,Hatchback,5,5,13999.0
Ford,2014.0,Fiesta,Hatchback,USED,Automatic,1.0,Front,Unleaded,5.4,76289.0,NSW,3,Hatchback,5,5,12400.0
Mitsubishi,2012.0,Outlander,SUV,USED,Automatic,2.4,AWD,Unleaded,7.5,219681.0,NSW,4,SUV,4,7,13999.0
